6fb97193|Dktx|5.87|1.64|-3.94
d25c2896|51k|8.53|4.87|-6.09
4747fbef|4k6ha|5.01|0.77|-5.19
78df7136|T7t|2.47|9.13|-3.5
c462239|Nczg|8.86|-5.46|4.49
f2d61387|O3ic|-5.54|-9.04|-4.48
52b918af|Dzh|9.71|5.88|-8.84
d1abd436|Qn6|-0.86|-6.13|0.41
7aab142e|Buzal|-1.95|9.97|8.04
5f10e319|Vdn|8.95|4.63|6.65
55142d6f|Tacyb|-7.46|-0.88|-5.57
54b43ec8|Ssfb|7.77|9.45|8.93
eeb49db2|Drviz|2.12|2.58|-7.84
f2bbd9|Bk82c|-6.87|10.09|0.51
9adc8d41|Utl|7.76|4.13|1.92
72dd1860|Mgrpm|-4.64|-8.71|1.64
36ba0d22|Qsdyv|-5.81|-7.31|-10.95
b9deb6cd|Rwztt|7.19|5.39|-6.2
2ee80421|Yid|6.66|2.21|-2.56
b653cda6|86wf7|-6.82|-7.87|-9.66
fbb3ad6f|Brepi|-1.57|-10.12|10.59
29958ccf|Qsdpz|-9.04|8.1|-10.66
83748f6b|B0xg|2.28|-3.15|-1.25
9eb0ce2|E9q20|-3.81|-5.93|-10.2
708d82c6|Guanz|1.03|-8.77|4.43
84ea11d7|Ijj7d|-6.88|-10.52|-8.22
88f24104|5bgcq|1.63|5.77|10.28
1a4b889f|Ovyb|7.17|-7.15|-4.48
8de3d03e|1x3|-4.91|6.71|7.74
e94f35f3|Dlpru|-10.74|-9.23|7.82
cc2cade7|Bouab|0.99|-10.34|-7.82
26e457ba|46i|-5.87|-2.1|-4.63
3f363a17|990v8|-7.72|4.19|6.79
49d00c86|Tyq|3.16|-4.4|10.14
e9080f76|C1a6|-5.75|7.18|-3.27
c8a8e7a7|Zokz|-2.53|-5.7|-8.82
afeee25|Jfs|2.58|6.89|2.11
b52bf7be|Ddl|-1.44|3.73|-0.97
d76e5d03|Riip|2.61|-3.35|10.18
113a55a1|Ji18e|-7.14|8.3|9.44
fc456194|9as|0.84|-5.29|-9.02
2897124b|Qbqra|-5.07|9.71|-0.59
30215587|Iymct|8.59|7.67|-6.92
bed9f8d8|Guv|8.51|6.58|-3.31
4641c427|Ubrjj|-9.02|-10.79|7.58
e25970c4|Ztq1t|6.82|10.21|-7.56
46bd43fe|Eeb|-4.45|-10.46|1.11
a11f01b0|Ymb|8.95|6.44|7.88
b8f0f247|Dv2|-7.92|-1.23|-4.46
dba86ed5|Ui3s|5.3|2.92|5.9
8ff18a8a|Aqbb|-4.99|-8.52|4.8
203be98|Ztvr|-1.97|10.77|-8.98
db85a611|A7ai|1.79|-4|7.21
1498359e|Dra|-10.73|10.69|-8.29
30a681c6|K5ttv|-4.83|6.81|6.34
145adcd3|Rpmec|3.23|-5.73|3.72
1ef731da|Vmrv|3.65|-9.12|-8.78
6e945d32|Cpxi|8.2|-10.95|-6.49
68204b7|Xqqx|-0.95|-1.18|5.38
969df2ee|1nvp|-7.88|2.24|9.12
f1826557|Bndeg|-3.35|-0.42|-10.9
a1691366|Wdohu|-5.46|7.61|-10.22
2aad0945|Dhkbw|-1.84|8.37|-10.21
df4cb9ae|3fjpy|8.96|9.19|-3.13
46854e49|Ccyb|5.24|8.58|-8.3
5d937e5c|7jvj|9.41|1.12|2.1
2f0840c4|5vo|-1.62|-8.15|-9.64
